,corrections,measurements,true_values
0,2.6939535142061186,3.3639275001301114,1.8255530997284664
1,3.242737091721295,3.7282098135163935,3.1387465371359595
2,4.0066682728223375,4.648701059942934,4.782043933393851
3,6.121626616564928,7.668627520662485,6.0185710693454055
4,6.764682381655483,7.457982254836865,5.389552850133054
5,6.968628468116873,7.40807530589536,8.245233236984843
6,7.855871802768387,8.74517097937649,7.998353823158203
7,8.897727319177813,9.92710493197375,8.583599993600712
8,9.652662401149225,10.544474428646495,10.473201082295821
9,9.91115760267376,10.517252500783659,9.428795550744729
10,11.15368536860842,12.40601320547093,12.014081260765943
11,10.896886352546613,11.239072469324233,12.013514533347808
12,10.69906710921931,11.067590538145922,11.923847959896387
13,10.277399201582714,10.492588364812187,10.568853940602532
14,11.353569061202222,12.515308679576703,12.979683746572906
15,12.317616335225795,13.456055268363722,13.055883420440141
16,11.13421336888593,10.931948719096246,12.070343395717414
17,11.909137794003742,12.915651866909554,12.487340813399964
18,11.911443912133974,12.45508194138735,11.725457279384866
19,11.258432147016888,11.379652152075362,11.766696852234546
20,11.075090293706126,11.46940716712574,11.838282804342496
21,10.887162746299452,11.270176498296603,12.095120209351808
22,10.891869590900434,11.390531160293461,11.955406300033886
23,11.591524605503574,12.53847549571204,11.82087760167328
24,11.972192118733643,12.745323574398752,13.098031726999334
25,11.965906771854605,12.50687584753757,13.841841622354284
26,13.031826200612056,14.263824301643675,14.287639351253782
27,12.508019302262817,12.76354972705315,13.569803387429808
28,12.982275155678648,13.857471134875166,12.572895291147745
29,14.312371809409534,15.760970034186169,14.668762965943626
30,16.56124720554573,18.662788831418595,16.781823964495445
31,16.994181113418712,18.02725333207466,17.79905516488602
32,17.40680511404916,18.44649117592481,18.376553457844665
33,17.78377946813276,18.819264329631388,18.250453623331616
34,19.681251655483493,21.71425464483654,21.29011653328407
35,20.38441177139743,21.733750106628772,21.510291256867287
36,21.625256311520374,23.353282895110812,22.054286901405174
37,21.96532568845327,23.169056294588948,23.594055725130513
38,24.42468603516704,27.010332798992568,26.751502771505965
39,25.85685045476605,27.892161808470824,27.658521964076723
